name,nationalities,date_of_listing,source
Ahmad Jannati,Iran,2022-10-03,Cannada
Sayyed Abdolrahim Mousavi,Iran,2022-10-03,Cannada
Hossein Shariatmadari,Iran,2022-10-11,Cannada
Abolfaz Shekarchi,Iran,2022-10-11,Cannada
Amir Hatami,Iran,2022-10-11,Cannada
Heshmatollah Falahatpisheh,Iran,2022-10-19,Cannada
Sayed Hojatollah Qureishi,Iran,2022-11-10,Cannada
Saeed Aghajani,Iran,2022-11-10,Cannada
Seyyed Yahya Safavi,Iran,2022-11-10,Cannada
Ghassem Damavandian,Iran,2023-03-23,Cannada
Hamidreza Sharifi-Tehrani,Iran,2023-03-23,Cannada
Nader Khoon Siavash,Iran,2023-03-23,Cannada
Abualfazl Nazeri,Iran,2023-04-28,Cannada
Mohsen Asadi,Iran,2023-04-28,Cannada
Mohammad Sadegh Heidari Mousa,Iran,2023-04-28,Cannada
Mohammad Reza Mohammadi,Iran,2023-04-28,Cannada
Abbolkarim Bani Tarafi,Iran,2023-08-04,Cannada
Reza Khaki,Iran,2023-08-04,Cannada
Majid Reza Niyazi-Angili,Iran,2023-08-04,Cannada
Vali Arlanizadeh,Iran,2023-08-04,Cannada
Ahmadian Ali Akbar,Iran,2023-08-04,Cannada
Fereidoun Abbasi-Davani,Iran,2023-10-18,Cannada
Azim Aghajani,Iran,2023-10-18,Cannada
Bahmanyar Morteza Bahmanyar,Iran,2023-10-18,Cannada
Ahmad Vahid Dastjerdi,Iran,2023-10-18,Cannada
Ahmad Derakhshandeh,Iran,2023-10-18,Cannada
Ali Akbar Tabatabaei,Iran,2023-10-18,Cannada
Mohammad Mehdi Nejad Nouri,Iran,2023-10-18,Cannada
Morteza Rezaei,Iran,2023-10-18,Cannada
Mohsen Hojati,Iran,2023-10-18,Cannada
Mohammad Eslami,Iran,2023-10-18,Cannada
Mohammad Hejazi,Iran,2023-10-18,Cannada
Mohammad Reza Naqdi,Iran,2023-10-18,Cannada
Mohsen Fakhrizadeh-Mahabadi,Iran,2023-10-18,Cannada
Qasem Soleimani,Iran,2023-10-18,Cannada
Morteza Safari,Iran,2023-10-18,Cannada
Naser Maleki,Iran,2023-10-18,Cannada
